INCROWID,VNAME,BUNAME,SINAME,PRIORITY,STATUS,INCIDENTTYPENAME,INCIDENTCATNAME,INCIDENTTITLE,INCIDENTDETAILS,OCCUREDDATE,OCCUREDTIME,REPORTEDDATE,REPORTEDTIME,LASTUPDATEDDATE,LASTUPDATEDTIME,MONTH,QUARTER,YEAR,LNAME,LEVELNAME,ZNAME,INCIDENTID,REPORTEDBY,INCIDENTTYPENAME_DISPLAY,INCIDENTCATNAME_DISPLAY,INCIDENTCOUNT,MONTHNAME,VCODE,BUCODE,SICODE,DSRDATE
8000,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,Theft Attempt,Some intruders were trying to take away scrap materials from RMF scrapyard.,2024-06-30,16:00,2024-06-30,18:35,2024-07-15,13:53,6,Q1,2024,Ball Mill,Medium,Zone 2,6684,Pritam Rath,SCR- INC,ASSET,1,JUN,VL,AL,VALL,2024-06-30
11744,VEDANTA LIMITED,Hindustan Zinc Limited,CLZS(CHANDERIYA),LOW,CLOSED,SECURITY INCIDENTS,Others,"Others at CLZS(CHANDERIYA) site at 17 Mar 2025, 6:00 AM",Tool down strike by Runaya Plant Workers at runaya main gate.,2025-03-17,06:00,2025-03-17,06:00,2025-05-31,03:48,3,Q4,2025,COMMON,Low,COMMON,10432,Sunil Kumar,SCR- INC,OTHERS,1,MAR,VL,HZL,CLZS,
6321,VEDANTA LIMITED,ESL,IRON AND POWER,LOW,OPEN,SECURITY INCIDENTS,Access Control,"Access Control at IRON AND POWER site at 31 May 2024, 1:01 PM",TesT Incident By Sbit Team,2024-05-31,13:01,2024-05-31,13:02,2024-05-31,07:32,5,Q1,2024,Wagon Tippler (RHMS),Medium,Agglomeration,5005,Tribhuvan  Pandey,SCR- INC,ACCESS,1,MAY,VL,ESL,I&P,2024-05-31
6920,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,Theft Attempt,Some miscreants were trying to take paint cans from new RMF ,2024-04-07,12:42,2024-04-07,15:18,2024-06-12,20:00,4,Q1,2024,Admin Building,Medium,Zone 1,5604,Pritam Rath,SCR- INC,ASSET,1,APR,VL,AL,VALL,2024-04-07
9144,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,Sabotage (Inmotion WB ),Villagers of Chhatrapur damaged all the PCs and equipments at Inmotion Weigh bridge.,2024-09-09,16:00,2024-09-09,16:42,2024-10-11,06:21,9,Q2,2024,Bridge 40,Medium,Zone 3,7829,Pritam Rath,SCR- INC,ASSET,1,SEP,VL,AL,VALL,2024-09-09
9450,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,Recovery (Township Road),2 bundles of liner materials were recovered at Township road.,2024-10-02,22:00,2024-10-02,22:47,2024-11-08,10:56,10,Q3,2024,Admin Building,Low,Zone 1,8135,Pritam Rath,SCR- INC,ASSET,1,OCT,VL,AL,VALL,2024-10-02
10775,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL J,LOW,OPEN,SECURITY INCIDENTS,Others,"Others at VAL J site at 03 Mar 2025, 6:20 PM",Testing Purpose,2025-03-03,18:20,2025-03-03,18:19,2025-03-03,12:50,3,Q4,2025,Admin,Low,IPP,9463,Aman  Kumar,SCR- INC,OTHERS,1,MAR,VL,AL,VALJ,2025-03-03
10854,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,SECURITY INCIDENTS,Material,Foiled attempt at SS 8E,"Some miscreants were trying to take away copper cables from SS 8E building area.
",2025-02-03,02:00,2025-02-03,06:03,2025-03-11,22:38,2,Q4,2025,SSNP,Low,Zone 3,9542,Pritam    Rath,SCR- INC,MATERIALS,1,FEB,VL,AL,VALL,2025-02-03
11188,VEDANTA LIMITED,ALUMINIUM SECTOR,VAL L,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,Any Other,Tools Down At PT Gate,"Employees of Aneja Construction were on Tools down at PT Gate due to payment related issues.
",2025-03-14,08:00,2025-03-14,09:30,2025-04-10,11:59,3,Q4,2025,Admin Building,Low,Zone 1,9876,Pritam Rath,NON-SEC-INC,ANY,1,MAR,VL,AL,VALL,2025-03-14
6295,VEDANTA LIMITED,ALUMINIUM SECTOR,BALCO,LOW,OPEN,SECURITY INCIDENTS,Access Control,"Access Control at BALCO site at 15 May 2024, 10:41 AM","On May 15, 2024, at approximately 1041 hours, while conducting CCTV surveillance, Mr. Sanyog Kumar observed the presence of intruders tresspassing behind BLC, Plant 3 area. Immediate notification was provided to the Quick Response Team, following which the Team arrived at the location.  Upon noticing security movement, miscreants fled the premises empty-handed.",2024-05-15,10:41,2024-05-15,11:45,2024-05-17,05:09,5,Q1,2024,BLC Backside,Low,Zone 3,4978,Varsha   Dwivedi,SCR- INC,ACCESS,1,MAY,VL,AL,BAL,2024-05-15
