INCROWID,VNAME,BUNAME,SINAME,PRIORITY,STATUS,INCIDENTTYPENAME,INCIDENTCATNAME,INCIDENTTITLE,INCIDENTDETAILS,OCCUREDDATE,OCCUREDTIME,REPORTEDDATE,REPORTEDTIME,LASTUPDATEDDATE,LASTUPDATEDTIME,MONTH,QUARTER,YEAR,LNAME,LEVELNAME,ZNAME,INCIDENTID,REPORTEDBY,INCIDENTTYPENAME_DISPLAY,INCIDENTCATNAME_DISPLAY,INCIDENTCOUNT,MONTHNAME,VCODE,BUCODE,SICODE,DSRDATE
2113,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,PR - Villagers/ Neighborhood,"PR - Villagers/ Neighborhood at IOK site at 05 Jan 2023, 11:45 AM","Main gate the Megalahalli villager Venugopal blocked the road, due to Permission for escort Vehicle., Attended by Logistics In charge Mr. Irshad & Security HOD Mr. Rohit Hooda ,convinced him and clear the issue at about 11:55hrs.",2023-01-05,11:45,2023-01-05,11:55,2024-02-21,09:43,1,Q4,2023,Main Gate,Low,Admin Building,796,Security  Karnataka,IR/PR,IR,1,JAN,VL,IOB,IOK,2023-01-05
1761,VEDANTA LIMITED,Hindustan Zinc Limited,ZSD,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,"ASSET/PROPERTY at ZSD site at 25 Jan 2023, 11:00 AM","Theft incident happened at transformer which is located inside colony boundary opposite CRDL & near stadium. Immediately security team and representative from electrical department visited the location for verification .Further it discovered that the electric equipment’s from transformer which was part of on-going project were stolen.
",2023-01-25,11:00,2023-06-24,11:00,2024-01-24,09:23,1,Q4,2023,Stadium,High,Colony,444,Ankita  Sahoo,SCR- INC,ASSET,1,JAN,VL,HZL,ZSD,2023-01-25
1558,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at RDC site at 25 Apr 2022, 8:02 AM","While random drug checking at trunstile gate, a worker Mr. Basudev Singh Gate pass No- SKM0020593 of M/S RDL company, was found under the influence of drug.",2022-04-25,08:02,2024-01-19,14:16,2024-01-19,08:47,4,Q1,2022,Main gate building,Medium,SKM,241,Garvita Ameta,SCR- INC,SOP- LSR,1,APR,VL,HZL,RDC,2022-04-25
3663,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,SOP- LSR Violation at IOK site at 2023-01-23 05:33,"During surprise check conducted by security gate on 23.01.2023 at 05:33 hrs, Mr. Suman das an employee of security  Department, was found to be alcohol positive case (11%). The security department immediately informed the concerned department, and did not allow duty. and returned to back.",2023-01-23,05:33,2023-01-23,05:33,2024-03-15,04:42,1,Q4,2023,Ballari Plant,Low,Ballari Plant,2346,Console   Operator,SCR- INC,SOP- LSR,1,JAN,VL,IOB,IOK,2023-01-23
2083,VEDANTA LIMITED,FACOR,CCP,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at CCP site at 10 Feb 2023, 5:38 PM"," dated 09.10.2023 at around 05:53Hrs. Mr. Ananda Panda (CCP0003561) working under M/s Amit Kumar Mohapatra at Helper under production area, entered the plant premise on the punch Mr. Laxmidhar Peda (CCP0003569) who is also working under M/s Amit Kumar Mohapatra as helper.Upon enquiry initially Mr. Ananda denied to recognize Mr. Laxmidhar Peda but after intervention he accepted.",2023-02-10,17:38,2023-02-10,18:07,2024-02-16,11:31,2,Q4,2023,"Outside CCP Material & Veh. Gate including BOP Area, security barracks, bike parking & truck parking.",Medium,BP2,766,Bijay Raut,SCR- INC,SOP- LSR,1,FEB,VL,FAC,CCP,2023-02-10
2082,VEDANTA LIMITED,FACOR,CCP,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,"ASSET/PROPERTY at CCP site at 10 Feb 2023, 12:33 PM",Today at around 12:56Hrs Mr. Sanyasi Biswal who was working under Procurement Contractor when he returned after completion of his duty and His bag checked at Turnstile Gate by Civ GD Avishek Dey and found in his bag two numbers bottle filling diesel total quantity 4liters diesel carrying by this person without permission  Charge chrome yard in charge  so it is Violence and unwanted activities showing and it is intention theft .After that we immediately seized his gate pass no CCP0004649 the stolen diesel bottle kept under custody. already given further information procurement Contractor with Operational Manager Mr. Sanjeeb Barik. And a Major security breach and violation of company rules & regulations.,2023-02-10,12:33,2023-02-10,12:57,2024-02-16,11:24,2,Q4,2023,"Outside CCP Material & Veh. Gate including BOP Area, security barracks, bike parking & truck parking.",Medium,BP2,765,Pushpraj Singh Rathore,SCR- INC,ASSET,1,FEB,VL,FAC,CCP,2023-02-10
1994,VEDANTA LIMITED,ESL,ENABLING,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,"ASSET/PROPERTY at Enabling site at 05 Jan 2023, 6:34 AM","At around 0634 hrs, SCCC observed that a boy was roaming outside of boundary wall near tower 17 with intention of intrusion

Information was passed to deployed guard for being alert in the respective area.
",2023-01-05,06:34,2024-02-14,14:46,2024-02-14,09:19,1,Q4,2023,Tower 17,Low,Security,677,Tribhuvan  Pandey,SCR- INC,ASSET,1,JAN,VL,ESL,ENB,2023-01-05
3487,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at IOK site at 02 Jan 2023, 8:35 AM","During surprise check conducted by security at Gate-02 on 02.01.2023 at 08:35hrs, Mr.Noorulla, an employee of BSV Contract worker was found to be alcohol positive case (10%). The security department immediately informed the concerned department, and did not allow duty. and returned to back.",2023-01-02,08:35,2023-01-06,08:25,2024-03-06,05:34,1,Q4,2023,Gate 2,Low,Mines,2170,Console   Operator,SCR- INC,SOP- LSR,1,JAN,VL,IOB,IOK,2023-01-02
3488,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at IOK site at 03 Jan 2023, 7:20 AM","During surprise check conducted by security at Gate-03 on 03.01.2023 at 07:20hrs, Mr.Gangadhar, Lorry driver was found to be alcohol positive case (5%). The security department immediately informed the concerned department, and did not allow duty. and returned to back.",2023-01-03,07:20,2023-01-03,07:20,2024-03-06,05:38,1,Q4,2023,Gate 3 WB & Road,Low,Mines,2171,Console   Operator,SCR- INC,SOP- LSR,1,JAN,VL,IOB,IOK,2023-01-03
3489,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at IOK site at 03 Jan 2023, 8:20 AM","During surprise check conducted by security at Gate-03 on 03.01.2023 at 08:20hrs, Mr. Suresh, Lorry driver was found to be alcohol positive case (3%). The security department immediately informed the concerned department, and did not allow duty. and returned to back.",2023-01-03,08:20,2023-01-03,08:20,2024-03-06,05:43,1,Q4,2023,Gate 3 WB & Road,Low,Mines,2172,Console   Operator,SCR- INC,SOP- LSR,1,JAN,VL,IOB,IOK,2023-01-03
