INCROWID,VNAME,BUNAME,SINAME,PRIORITY,STATUS,INCIDENTTYPENAME,INCIDENTCATNAME,INCIDENTTITLE,INCIDENTDETAILS,OCCUREDDATE,OCCUREDTIME,REPORTEDDATE,REPORTEDTIME,LASTUPDATEDDATE,LASTUPDATEDTIME,MONTH,QUARTER,YEAR,LNAME,LEVELNAME,ZNAME,INCIDENTID,REPORTEDBY,INCIDENTTYPENAME_DISPLAY,INCIDENTCATNAME_DISPLAY,INCIDENTCOUNT,MONTHNAME,VCODE,BUCODE,SICODE,DSRDATE
2123,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,PR-Villagers/Neighbourhood,PR-Villagers/Neighbourhood at IRON ORE KARNATAKA site at 2021-04-17 10:15,"On 17th Apr 2021 at around 1007hrs, at BMS diesel bunk mud road farmer Mr. Mahalingappa blocked the road and stopped the loaded vehicles due to Employment demand, the security and logicstics team clear the issue at about 1015hrs.",2021-04-17,10:15,2021-04-17,10:15,2024-02-21,18:29,4,Q1,2021,Bheemsamundra Bunk,Low,Gate-3 Traffic,806,Console   Operator,NON-SEC-INC,PR-VILLAGERS,1,APR,VL,IOB,IOK,2021-04-17
2111,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Villagers/ Neighborhood at IRON ORE KARNATAKA site at 2021-04-03 08:25,"At far 200Mtr from Megalahalli cross, Mr. Manju S/O Hanumanthappa megalahalli villager blocked road and stopped the shift vehicles due to V-Loader demand, the CSR in-charge and logistics in-charge convinced him and cleared the issue at about 0905hrs.",2021-04-03,08:25,2021-04-03,12:41,2024-02-21,07:26,4,Q1,2021,Circle gate,Medium,Gate-3 Traffic,794,Security  IOK,IR/PR,IR,1,APR,VL,IOB,IOK,2021-04-03
2121,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Villagers/ Neighborhood at IRON ORE KARNATAKA site at 2021-04-06 07:50,"On 16.04.2021 0750 hrs, at muthgdoor, Tippers stopped by some Muthgdoor Villagers by demanding compansation to the person who died in the accident from the jhon mines empty tipper last week, traffic ,marshall & Tipper association convinced them and cleared the issue.",2021-04-06,07:50,2021-04-06,07:50,2024-02-21,18:22,4,Q1,2021,Muthugaduru,High,Gate-1 Traffic,804,Console   Operator,IR/PR,IR,1,APR,VL,IOB,IOK,2021-04-06
3491,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at IOK site at 13 Jan 2022, 10:10 AM","During surprise check conducted by security at Gate-03 on 13.01.2023 at 10:10hrs, Mr. Gangadhara, Lorry driver was found to be alcohol positive case (17%). The security department immediately informed the concerned department, and did not allow duty. and returned to back.",2022-01-13,10:10,2023-01-13,10:10,2024-03-06,06:19,1,Q4,2022,Gate 3 WB & Road,Low,Mines,2174,Console   Operator,SCR- INC,SOP- LSR,1,JAN,VL,IOB,IOK,2022-01-13
2112,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Villagers/ Neighborhood at IRON ORE KARNATAKA site at 2021-04-07 05:46,"On 07th Apr 2021 at around 0545hrs, at Bommenahalli  loaded vehicles stopped by Bommenahalli villagers due to loaded vehicle issue",2021-04-07,05:46,2021-04-21,05:45,2024-02-21,07:47,4,Q1,2021,Bommenahalli,Low,Gate-3 Traffic,795,Security  IOK,IR/PR,IR,1,APR,VL,IOB,IOK,2021-04-07
2131,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,PR-Villagers/Neighbourhood,PR-Villagers/Neighbourhood at IRON ORE KARNATAKA site at 2021-04-17 11:45,"On 17th Apr 2021 at around 1145hrs, the mud road blocked by Mr. Siddesh, Mr. Chetan and Mr. Srinivas due to settlement not done on due date, the mud road farmers invited chalawadi pita chalalkere swami ji for small pooja function, the issue clear at about 1245hrs.",2021-04-17,11:45,2021-04-17,10:45,2024-02-21,20:05,4,Q1,2021,Bheemsamundra Bunk,Low,Gate-3 Traffic,814,Console   Operator,NON-SEC-INC,PR-VILLAGERS,1,APR,VL,IOB,IOK,2021-04-17
2132,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,PR-Villagers/Neighbourhood,PR-Villagers/Neighbourhood at IRON ORE KARNATAKA site at 2021-04-18 05:00,"On 18th Apr 2021 at around 0500hrs, at mud road, the mud road bouncer Mr. Siddesh Yapa blocked the road due to final settlement, the logistics and security team informed CPI rural police station and they convinced him and cleared the road.",2021-04-18,05:00,2021-04-18,05:00,2024-02-21,20:09,4,Q1,2021,Bheemsamundra Bunk,Low,Gate-3 Traffic,815,Console   Operator,NON-SEC-INC,PR-VILLAGERS,1,APR,VL,IOB,IOK,2021-04-18
2136,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,PR-Villagers/Neighbourhood,PR-Villagers/Neighbourhood at IRON ORE KARNATAKA site at 2021-04-24 13:30,"On 24th Apr 2021 at around 1330hrs, Near leveling point, the Megalahalli villager Mr. Krishna stopped the shift vehicles due to compensation and need wheel loader for his land work, after getting the information the security head and logistics in-charge along with Megalahalli company staff reached the spot and convinced him and clear the issue at about 1435hrs.",2021-04-24,13:30,2021-04-24,13:30,2024-02-21,21:56,4,Q1,2021,Levelling Point,Low,Gate-3 Traffic,819,Console   Operator,NON-SEC-INC,PR-VILLAGERS,1,APR,VL,IOB,IOK,2021-04-24
2116,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Villagers/ Neighborhood at IRON ORE KARNATAKA site at 2021-04-08 12:33,"On 08th Apr 2021 at around 1233hrs, at BMS bunk Mrs. Vinodamma Bheemasamudra villager loaded vehicles stopped in mud road due to water not sprinkling on road, the security team reached the spot and clear the issue at about 1248hrs.",2021-04-08,12:33,2021-04-08,12:33,2024-02-21,10:20,4,Q1,2021,Bheemsamundra,Low,BBH Railway Siding,799,Security  IOK,IR/PR,IR,1,APR,VL,IOB,IOK,2021-04-08
2118,VEDANTA LIMITED,Iron Ore Business,IRON ORE KARNATAKA,LOW,CLOSED,NON-SECURITY INCIDENTS-OTHER,PR-Villagers/Neighbourhood,PR-Villagers/Neighbourhood at IRON ORE KARNATAKA site at 2021-04-08 12:33,"On 08th Apr 2021 at around 1233hrs, at BMS bunk Mrs. Vinodamma Bheemasamudra villager loaded vehicles stopped in mud road due to water not sprinkling on road, the security team reached the spot and clear the issue at about 1248hrs.",2021-04-08,12:33,2021-04-08,12:33,2024-02-21,18:15,4,Q1,2021,Bheemsamundra Bunk,Low,Gate-3 Traffic,801,Console   Operator,NON-SEC-INC,PR-VILLAGERS,1,APR,VL,IOB,IOK,2021-04-08
